post_id,post_type,likes,comments,date_posted,vectorize,content,metadata,username
2969245316159095059,static-image,2687,9,2022-11-11T15:47:26,"A post with username:""arshgoyalyt"", post_id: ""2969245316159095059"", post_type: ""static-image"", likes: 2687, comments: 9, date_posted: ""2022-11-11T15:47:26"".","A post with username:""arshgoyalyt"", post_id: ""2969245316159095059"", post_type: ""static-image"", likes: 2687, comments: 9, date_posted: ""2022-11-11T15:47:26"".","{'post_type': 'static-image', 'username': 'arshgoyalyt'}",arshgoyalyt
2962749165726975127,static-image,3767,94,2022-11-02T16:40:44,"A post with username:""arshgoyalyt"", post_id: ""2962749165726975127"", post_type: ""static-image"", likes: 3767, comments: 94, date_posted: ""2022-11-02T16:40:44"".","A post with username:""arshgoyalyt"", post_id: ""2962749165726975127"", post_type: ""static-image"", likes: 3767, comments: 94, date_posted: ""2022-11-02T16:40:44"".","{'post_type': 'static-image', 'username': 'arshgoyalyt'}",arshgoyalyt
2960554678760705327,static-image,2664,17,2022-10-30T16:00:41,"A post with username:""arshgoyalyt"", post_id: ""2960554678760705327"", post_type: ""static-image"", likes: 2664, comments: 17, date_posted: ""2022-10-30T16:00:41"".","A post with username:""arshgoyalyt"", post_id: ""2960554678760705327"", post_type: ""static-image"", likes: 2664, comments: 17, date_posted: ""2022-10-30T16:00:41"".","{'post_type': 'static-image', 'username': 'arshgoyalyt'}",arshgoyalyt
2958189841548055475,static-image,3933,18,2022-10-27T09:42:11,"A post with username:""arshgoyalyt"", post_id: ""2958189841548055475"", post_type: ""static-image"", likes: 3933, comments: 18, date_posted: ""2022-10-27T09:42:11"".","A post with username:""arshgoyalyt"", post_id: ""2958189841548055475"", post_type: ""static-image"", likes: 3933, comments: 18, date_posted: ""2022-10-27T09:42:11"".","{'post_type': 'static-image', 'username': 'arshgoyalyt'}",arshgoyalyt
2955999002470127193,static-image,3581,14,2022-10-24T09:09:22,"A post with username:""arshgoyalyt"", post_id: ""2955999002470127193"", post_type: ""static-image"", likes: 3581, comments: 14, date_posted: ""2022-10-24T09:09:22"".","A post with username:""arshgoyalyt"", post_id: ""2955999002470127193"", post_type: ""static-image"", likes: 3581, comments: 14, date_posted: ""2022-10-24T09:09:22"".","{'post_type': 'static-image', 'username': 'arshgoyalyt'}",arshgoyalyt
2954666495793392082,reels,2509,22,2022-10-22T13:03:11,"A post with username:""arshgoyalyt"", post_id: ""2954666495793392082"", post_type: ""reels"", likes: 2509, comments: 22, date_posted: ""2022-10-22T13:03:11"".","A post with username:""arshgoyalyt"", post_id: ""2954666495793392082"", post_type: ""reels"", likes: 2509, comments: 22, date_posted: ""2022-10-22T13:03:11"".","{'post_type': 'reels', 'username': 'arshgoyalyt'}",arshgoyalyt
2950308049562508561,static-image,6774,39,2022-10-16T12:42:28,"A post with username:""arshgoyalyt"", post_id: ""2950308049562508561"", post_type: ""static-image"", likes: 6774, comments: 39, date_posted: ""2022-10-16T12:42:28"".","A post with username:""arshgoyalyt"", post_id: ""2950308049562508561"", post_type: ""static-image"", likes: 6774, comments: 39, date_posted: ""2022-10-16T12:42:28"".","{'post_type': 'static-image', 'username': 'arshgoyalyt'}",arshgoyalyt
2949733197700999478,static-image,3823,10,2022-10-15T17:40:20,"A post with username:""arshgoyalyt"", post_id: ""2949733197700999478"", post_type: ""static-image"", likes: 3823, comments: 10, date_posted: ""2022-10-15T17:40:20"".","A post with username:""arshgoyalyt"", post_id: ""2949733197700999478"", post_type: ""static-image"", likes: 3823, comments: 10, date_posted: ""2022-10-15T17:40:20"".","{'post_type': 'static-image', 'username': 'arshgoyalyt'}",arshgoyalyt
2947517544583670676,static-image,3155,69,2022-10-12T16:18:14,"A post with username:""arshgoyalyt"", post_id: ""2947517544583670676"", post_type: ""static-image"", likes: 3155, comments: 69, date_posted: ""2022-10-12T16:18:14"".","A post with username:""arshgoyalyt"", post_id: ""2947517544583670676"", post_type: ""static-image"", likes: 3155, comments: 69, date_posted: ""2022-10-12T16:18:14"".","{'post_type': 'static-image', 'username': 'arshgoyalyt'}",arshgoyalyt
2946748482236524378,reels,3823,23,2022-10-11T14:53:46,"A post with username:""arshgoyalyt"", post_id: ""2946748482236524378"", post_type: ""reels"", likes: 3823, comments: 23, date_posted: ""2022-10-11T14:53:46"".","A post with username:""arshgoyalyt"", post_id: ""2946748482236524378"", post_type: ""reels"", likes: 3823, comments: 23, date_posted: ""2022-10-11T14:53:46"".","{'post_type': 'reels', 'username': 'arshgoyalyt'}",arshgoyalyt
